,0
138,КОРОНАВИРУСНОЙ
139,КОРОНОВРИРУС
140,КРАПИВНИЦЫ
141,КРОВОТЕЧЕНИЕ
142,КШЕЛЬ
143,Каблаховой
144,Канель
145,Кашел
146,Кашель
147,Кашль
148,Кашля
149,Кирова
150,Клиники
151,Клинически
152,Клинических
153,Кожные
154,Колесниковым
155,Кондаковым
156,Констатирована
157,Контакт
158,Контактная
159,Контактный
160,Коробициной
161,Коронавирусная
162,Коронавирусной
163,Краснота
164,Кряклина
165,ЛЕГКИЙ
166,ЛЕГКОГО
167,ЛИМФОУЗЛОВ
168,ЛИХОРАДКА
169,ЛОМОТА
170,Легкий
171,Легкое
172,Лежал
173,Лескова
174,Лечился
175,Лихорадка
176,Лицо
177,Ломата
178,Ломило
179,Ломота
180,МАЗКИ
181,МАТЕРИАЛА
182,МИАЛГИЯ
183,МНПЦБТ
184,МОКРОТОЙ
185,Мазки
186,Мазок
187,Маленькая
188,Медниковой
189,Миалгия
190,Минздрава
191,Митин
192,Мокрота
193,Москва
194,Москву
195,Москвы
196,Московской
197,Мышечная
198,НАЗОФАРИНГИТ
199,НАМОРК
200,НАСМОРК
201,НАХОДИЛСЯ
202,НЕБОЛЬШАЯ
203,НЕДОМОГАНИЕ
204,НЕТ
205,НИИ
206,НИКАКИХ
207,НОСА
208,НОСУ
209,Над
210,Насморк
211,Насморок
212,Находился
213,Нашель
214,Небольшой
215,Недомагание
216,Недомогание
217,Незначительная
218,Неприятные
219,Нет
220,Низкое
221,Носительство
222,Носовое
223,ОБАЯНИЯ
224,ОБЛАСТИ
225,ОБОНЯНИЕ
226,ОБОНЯНИЯ
227,ОБСЕРВАЦИИ
228,ОБСЛЕДОВАН
229,ОБЩАЯ
230,ОБЩЕЕ
231,ОДН
232,ОЗНОБ
233,ОИВ
234,ОРВИ
235,ОРВи
236,ОРЗ
237,ОСИПЛОСТЬ
238,ОСТРАЯ
239,ОТБОР
240,ОТДЫШКА
241,ОТЕК
242,ОТСУТСТВИЕ
243,Обострение
244,Обследован
245,Обследована
246,Общая
247,Общее
248,Общий
249,Общую
250,Объем
251,Однократное
252,Одышка
253,Одыштемпература
254,Озавджин
255,Озноб
256,Онкологический
257,Орифовым
258,Осиплость
259,Острая
260,Остро
261,Острый
262,Отдышка
263,Отствуют
264,Отсутствие
265,Отсутствуют
266,ПЕРШЕНИЕ
267,ПКБ
268,ПОВЫШЕНИЕ
269,ПОВЫШЕННАЯ
270,ПОДКАШЛИВАНИЕ
271,ПОДЬЕМ
272,ПОКАШЛИВАНИЕ
273,ПОКРАСНЕНИЕ
274,ПОКРАСНЕНИЯ
275,ПОНОС
276,ПОТЕРЯ
277,ПОТЛИВОСТЬ
278,ПОЯВИЛАСЬ
279,ПОЯСНИЦЫ
280,ПРЕШЕНИЕ
281,ПРОПАЛ
282,ПРОПАЛО
283,Паткиным
284,Пациент
285,Переведен
286,Переведена
287,Перкуторно
288,Першение
289,Петраковой
290,Печеночная
291,Плановый
292,Плохое
293,Пневмония
294,Повысилась
295,Повышенениетемпературы
296,Повышение
297,Повышенная
298,Поджаров
299,Поднялась
300,Подъем
301,После
302,Потеря
303,Появилась
304,Приехал
305,Признаков
306,Приказчикова
307,Принимал
308,Притупление
309,Пропало
310,РВОТА
311,РЕСПИРАТОРНАЯ
312,РМЭ
313,Работник
314,Рвота
315,Редкий
316,Резкое
317,Рентген
318,Ринит
319,СЕМЕЙНОМУ
320,СИЛЬНАЯ
321,СИМПТОМ
322,СИМПТОМАТИКА
323,СИМПТОМОВ
324,СИМПТОМЫ
325,СКЛЕР
326,СЛАБОСТЬ
327,СЛЕВА
328,СМП
329,СПЕРАНСКОГО
330,СПИНЕ
331,СТУЛ
332,СУБФЕБРИЛЬНАЯ
333,СУСТАВАХ
334,СУХОЙ
335,СЫПЬ
336,Савина
337,Самочувствие
338,Сатурация
339,Свириным
340,Сейчас
341,Семашко
342,Сергей
343,Сердечные
344,Сердцебиение
345,Сильная
346,Сильно
347,Сильный
348,Симптомов
349,Симптомы
350,Слабость
351,Слизь
352,Снижение
353,Состояние
354,Сотрудник
355,Стоматит
356,Стопы
357,Субфебрилитет
358,Субфебрильная
359,Субфибрильная
360,Сухой
361,Считает
362,ТЕИПЕРАТУРА
363,ТЕЛА
364,ТЕЛЕ
365,ТЕМПЕРАТУРА
366,ТЕМПЕРАТУРЫ
367,ТИПУ
368,ТОШНОТА
369,Тантум
370,Таракановой
371,Тахикардия
372,Тела
373,Тем
374,Тембература
375,Темп
376,Темпаратура
377,Темпепратура
378,Темпер
379,Температур
380,Температура
381,Температурам
382,Температуратура
383,Температуры
384,Темпиратура
385,Тепмература
386,Теспература
387,Тошнота
388,Ттела
389,Тяжесть
390,УДУШИЕ
391,УШИ
392,Узденову
393,Умеренная
394,Усталость
395,Уфа
396,Учащенный
397,ФГБУ
398,ФГУП
399,ХОБЛ
400,ХРИПЫ
401,ЦРБ
402,ЦРИ
403,Цельсию
404,Цельсия
405,Цирроз
406,ЧСС
407,Чихание
408,Чувашии
409,Чувствует
410,Швейцер
411,Шестапаловым
412,ЯВЛЕНИЯ
413,Язык
414,Ястребова
415,аболела
416,абоняния
417,аборт
418,агевзия
419,адекватна
420,администратору
421,активно
422,активном
423,алкогольной
424,аллергический
425,аллергия
426,аложенность
427,аммиака
428,анализ
429,анамнеза
430,анамнезе
431,ангина
432,ангине
433,ангиопатия
434,аносмию
435,аносмия
436,апатия
437,апетит
438,апетита
439,аппендецит
440,аппетит
441,аппетита
442,апреля
443,аритмии
444,аритмия
445,арт
446,артериального
447,артериальное
448,артериалього
449,артралгии
450,артралгия
451,астения
452,астма
453,астматический
454,астмой
455,атаки
456,ашель
457,аэропорта
458,баль
459,без
460,безсимптомно
461,безсимптомное
462,белого
463,белой
464,белым
465,беременность
466,бес
467,бесоница
468,беспокойство
469,бессемптомно
470,бессимпотмно
471,бессимптомная
472,бессимптомно
473,бессимптомное
474,бессимптомный
475,бессимптомое
476,бессимтомная
477,бессимтомно
478,бессиптомная
479,бессонница
480,бледные
481,ближе
482,близком
483,бока
484,боку
485,бол
486,более
487,болеет
488,болезненная
489,болезненность
490,болезни
491,болезнь
492,болезнями
493,болей
494,болел
495,болела
496,болели
497,болело
498,болелт
499,болен
500,болеть
501,болеют
502,боли
503,болии
504,болит
505,болт
506,боль
507,больв
508,больница
509,больнице
510,больницы
511,больничный
512,больного
513,больное
514,больной
515,больным
516,больше
517,большой
518,больь
519,боняния
520,борль
521,боь
522,брали
523,бредовое
524,бригада
525,брль
526,бронх
527,бронхиальная
528,бронхит
529,бронхопневмония
530,бронхоспазм
531,брюшная
532,был
533,была
534,было
535,быстрая
536,быструю
537,бюоль
538,ввыявлена
539,вгорле
540,вдох
541,вдохе
542,вдохом
543,везикулярное
544,верде
545,вернулось
546,вероятно
547,вероятности
548,вероятность
549,вероятный
550,верхних
551,вечерам
552,вечернее
553,вечером
554,вечеру
555,взаимодействие
556,вздутие
557,вздутый
558,взят
559,видимые
560,визуально
561,вирусная
562,вирусное
563,вирусной
564,вкус
565,вкуса
566,вкусаа
567,вкуска
568,вкусов
569,вкусовая
570,вкусового
571,вкусовой
572,вкусовые
573,вкусовых
574,вкусоощущения
575,влаж
576,влажнй
577,влажное
578,влажные
579,влажный
580,влажныйдругие
581,внебольничная
582,внебольничной
583,внизу
584,внук
585,внутреннее
586,внутренней
587,внутренняя
588,внучкой
589,возбудитель
590,возбуждение
591,воздух
592,воздуха
593,возможно
594,возможность
595,воспаление
596,воспаленное
597,воспалились
598,воспириятия
599,восприятия
600,врач
601,вращении
602,временами
603,времени
604,время
605,все
606,всего
607,всем
608,всему
609,всех
610,всуставах
611,всём
612,вухой
613,вывялен
614,вывялена
615,выдан
616,выделение
617,выделением
618,выделений
619,выделения
620,выделениями
621,выделившим
622,выдохе
623,выезжала
624,вызвалf
625,вызвала
626,вызвана
627,вызов
628,выкидыш
629,выключен
630,выписан
631,выписки
632,выражееная
633,выраженая
634,выраженная
635,выраженной
636,выраженную
637,выраженные
638,выраженный
639,выс
640,выслушиваются
641,высока
642,высокая
643,высокий
644,высокое
645,высокой
646,высокую
647,высыпания
648,выше
649,вышеперечисленные
650,выявлен
651,выявлена
652,вязкой
653,вялость
654,вялотекущее
655,гайморит
656,гайморита
657,гайморовы
658,гангрена
659,гастрит
660,где
661,гематома
662,гематомы
663,гематурия
664,геперемия
665,герпес
666,герпетические
667,герпис
668,гинекологическое
669,гинекологическом
670,гиперемирован
671,гиперемия
672,гипертермия
673,гипертоический
674,гипертонии
675,гипертонический
676,гипертония
677,гиперэмия
678,гипоксия
679,гипосмия
680,гипотония
681,глаз
682,глаза
683,глазами
684,глазах
685,глазная
686,глазницы
687,глазные
688,глазных
689,гловная
690,глотании
691,глотать
692,глотки
693,глубоким
694,глубоком
695,гнасморк
696,гной
697,гнойная
698,гнойной
699,гнойные
700,говорить
701,года
702,гол
703,голаная
704,голвная
705,голвные
706,голдовная
707,голе
708,голени
709,голобная
710,голов
711,голова
712,головая
713,голове
714,головкружение
715,головна
716,головная
717,головнаяболь
718,головного
719,головной
720,головную
721,головные
722,головня
723,головокоужение
724,головокруж
725,головокружение
726,головокружениеКТ
727,головокружения
728,головокружнение
729,головы
730,голокружение
731,голоная
732,голоовная
733,голорс
734,голос
735,голоса
736,гоовная
737,гоолвная
738,гора
739,горе
740,горело
741,горечь
742,горизонтального
743,горизонтальном
744,горл
745,горла
746,горле
747,горлен
748,горлепотеря
749,горлн
750,горло
751,горловой
752,горовная
753,городская
754,гороле
755,гортани
756,госпитализацией
757,госпитализации
758,госпитализирован
759,госпитализирована
760,грС
761,граС
762,град
763,градС
764,градс
765,градуса
766,градусва
767,градусов
768,грд
769,груди
770,грудине
771,грудиной
772,грудной
773,груднойо
774,грудном
775,грудную
776,грудь
777,группа
778,губах
779,давит
780,давление
781,давления
782,давящая
783,давящего
784,давящие
785,дальнейший
786,даннных
787,данные
788,данный
789,данных
790,даныых
791,дату
792,два
793,движения
794,двукратный
795,двусторонней
796,двусторонних
797,двусторонняя
798,двух
799,двухстороннее
800,двухсторонней
801,двухсторонняя
802,дгкб
803,дез
804,день
805,держалась
806,держится
807,детьми
808,диабет
809,диагноз
810,диагноза
811,диагнозом
812,диагностирован
813,диагностической
814,диарей
815,диарею
816,диарея
817,диария
818,динамике
819,динамики
820,диорея
821,дирея
822,дисгевзия
823,дискомфорт
824,диспепсию
825,диспепсия
826,диспноэ
827,длительного
828,длительностью
829,дло
830,длхорадка
831,для
832,дней
833,дни
834,дня
835,доброволец
836,добровольно
837,дозвонится
838,дом
839,дома
840,домашнем
841,домогание
842,дочерью
843,дочь
844,дрожь
845,друг
846,другая
847,другие
848,другими
849,другое
850,другоие
851,друние
852,дужек
853,дхани
854,дых
855,дыхание
856,дыханиезаложенность
857,дыханиео
858,дыхании
859,дыханиии
860,дыхания
861,дыханме
862,дыхат
863,дыхательная
864,дыхательных
865,дышать
866,единичные
867,единичный
868,еды
869,емпература
870,ершение
871,есть
872,жалоб
873,жалобами
874,жалобы
875,жар
876,жара
877,желтоватого
878,желтого
879,желтой
880,желтушность
881,желудка
882,желудке
883,желудок
884,желудочное
885,желудочные
886,жена
887,жене
888,женой
889,жестким
890,жесткое
891,жесткость
892,жжение
893,жжения
894,жжжние
895,живот
896,живота
897,животе
898,жидк
899,жидкий
900,жизни
901,жительства
902,заблела
903,заболевание
904,заболеваний
905,заболеванию
906,заболевания
907,заболевшего
908,заболевшей
909,заболевшем
910,заболевшим
911,заболел
912,заболела
913,заболели
914,заболело
915,забор
916,заведующая
917,загноение
918,загрудинные
919,загрудная
920,задержка
921,задней
922,задняя
923,задыхалась
924,задыхался
925,задыхаться
926,залеженность
927,залженность
928,залож
929,заложен
930,заложенности
931,заложенность
932,заложенностьноса
933,заложеннсть
934,заложенный
935,заложено
936,заложеность
937,заложены
938,заложило
939,запах
940,запаха
941,запахам
942,запахи
943,запахов
944,запоженность
945,заражения
946,зараженной
947,заселением
948,затем
949,заторможенноть
950,затр
951,затруд
952,затрудененное
953,затрудн
954,затруднен
955,затруднененное
956,затруднение
957,затруднения
958,затрудненное
959,затрудненность
960,затрудненнсть
961,затрудненный
962,затруднено
963,затрудненое
964,затруднительное
965,затруднённое
966,затуманенность
967,зафиксировано
968,звук
969,звука
970,здавленность
971,здании
972,здоров
973,здорова
974,здоровой
975,зев
976,зева
977,зеве
978,зеленой
979,зеленью
980,знает
981,значений
982,зноб
983,золоженность
984,зпахи
985,зрения
986,зуд
987,зудят
988,зябкость
989,известно
990,известны
991,известным
992,изжога
993,изменеие
994,изменена
995,изменение
996,изменений
997,изменения
998,измененный
999,измение
1000,икота
1001,или
1002,имеющих
1003,инициативе
1004,инсульт
1005,интенсивный
1006,интерстициальной
1007,интерстициальных
1008,интоксикации
1009,интоксикационный
1010,интоксикация
1011,инфаркт
1012,инфекцией
1013,инфекции
1014,инфекционное
1015,инфекционными
1016,инфекцию
1017,инфекция
1018,инфекциями
1019,инфецкии
1020,инфильтративных
1021,информации
1022,информация
1023,инъекция
1024,иррадиации
1025,искаж
1026,искажение
1027,искаженный
1028,исследдовательский
1029,исследование
1030,источник
1031,исход
1032,исчезло
1033,кавшель
1034,как
1035,каких
1036,калешь
1037,каловые
1038,кардио
1039,катаральные
1040,качеств
1041,качества
1042,кашаль
1043,кашел
1044,кашелшь
1045,кашель
1046,кашельКТ
1047,кашельболь
1048,кашельзатруд
1049,кашельсухой
1050,кашельт
1051,кашельтемпература
1052,кашельь
1053,кашеть
1054,кашецеобразный
1055,кашеь
1056,кашкль
1057,кашле
1058,кашлель
1059,кашлем
1060,кашль
1061,кашля
1062,кашшель
1063,кащель
1064,квашель
1065,квинке
1066,кголовная
1067,кешель
1068,кистях
1069,кишечной
1070,клетке
1071,клетки
1072,клеткой
1073,клетку
1074,клиники
1075,клинику
1076,клиническая
1077,клинически
1078,клинические
1079,клинических
1080,когда
1081,кодющие
1082,кожа
1083,коже
1084,кожных
1085,колене
1086,коленных
1087,коленях
1088,колика
1089,колики
1090,количеством
1091,кома
1092,конечностей
1093,конечностях
1094,контак
1095,контакт
1096,контакта
1097,контакте
1098,контактная
1099,контактного
1100,контактной
1101,контактному
1102,контактный
1103,контактным
1104,контактными
1105,контактных
1106,контакту
1107,контроль
1108,конца
1109,кончика
1110,конъюнктивит
1111,коньюктевит
1112,коньюктивит
1113,коньюктивы
1114,коньюнктивит
1115,конюктивит
1116,координации
1117,коронавирусная
1118,коронавирусной
1119,коронавирусную
1120,короновирусная
1121,короновирусной
1122,короновирусным
1123,костей
1124,кости
1125,костях
1126,котдышка
1127,которого
1128,которой
1129,кошель
1130,крапивница
1131,красное
1132,краснота
1133,красные
1134,кратковременное
1135,кратный
1136,крепитирующие
1137,криз
1138,крови
1139,кровообращения
1140,кровотечение
1141,кровохаркание
1142,кровь
1143,кровью
1144,кровянистые
1145,круги
1146,крыльях
1147,кслабость
1148,курируют
1149,кушала
1150,лабораторно
1151,лабораторное
1152,лабость
1153,ламота
1154,ларингоспазм
1155,лающий
1156,лба
1157,левой
1158,левом
1159,легкая
1160,легкие
1161,легкий
1162,легкими
1163,легких
1164,легккий
1165,легко
1166,легкого
1167,легкое
1168,легкой
1169,легочного
1170,легочной
1171,легочный
1172,ледяные
1173,лежал
1174,лекарств
1175,лет
1176,летальный
1177,летке
1178,лечение
1179,лечении
1180,лечилась
1181,лечился
1182,лечится
1183,лимф
1184,лимфоденит
1185,лимфоузлов
1186,лимфоузлы
1187,лимфоузов
1188,лихорадка
1189,лихорака
1190,лихоркадка
1191,лихородка
1192,лиц
1193,лица
1194,лобной
1195,лобных
1196,лоиота
1197,локализации
1198,ломало
1199,ломата
1200,ломило
1201,ломит
1202,ломка
1203,ломота
1204,ломотоа
1205,ломоту
1206,ломоты
1207,лопатками
1208,лопатках
1209,лопаткой
1210,лопаток
1211,лопота
1212,лотома
1213,лёгкая
1214,лёгкий
1215,лёгких
1216,мазков
1217,мазок
1218,малейшей
1219,маленькая
1220,малопродуктивной
1221,малопродуктивный
1222,мамой
1223,марта
1224,массы
1225,матери
1226,материале
1227,матерью
1228,маточное
1229,мать
1230,мах
1231,машину
1232,мед
1233,медицинский
1234,медицинского
1235,медицинской
1236,медосмотра
1237,медперсонала
1238,медпомощью
1239,медработник
1240,между
1241,межреберная
1242,межреберье
1243,мендалин
1244,мерзнут
1245,месту
1246,месяца
1247,металлический
1248,миалгии
1249,миалгия
1250,мигрень
1251,мимо
1252,мин
1253,миндалин
1254,миндалинах
1255,миндалины
1256,минимальной
1257,миокарда
1258,многократная
1259,многократную
1260,многократный
1261,множественной
1262,может
1263,мозга
1264,мозгового
1265,мокрота
1266,мокроте
1267,мокротой
1268,мокроты
1269,мокрый
1270,момент
1271,моча
1272,мочеиспускание
1273,мочеиспусканием
1274,мочеиспускании
1275,мочеиспускания
1276,мочеполовой
1277,мочи
1278,мужем
1279,мучительный
1280,мыжцах
1281,мышечная
1282,мышечные
1283,мышц
1284,мышцах
1285,мышцы
1286,мышцых
1287,мышчная
1288,мышщах
1289,мыщцах
1290,мягкий
1291,наблюдалось
1292,наблюдался
1293,наблюдения
1294,нагрузках
1295,нагрузке
1296,нагрузки
1297,над
1298,надрывный
1299,надсадный
1300,назвать
1301,накануне
1302,налет
1303,налета
1304,налетов
1305,налетом
1306,налеты
1307,наличие
1308,наморк
1309,намсорк
1310,нарастание
1311,нарастающаяодышка
1312,нарушение
1313,нарушения
1314,нарушено
1315,нарушилось
1316,наса
1317,насм
1318,насмок
1319,насмокр
1320,насмор
1321,насморк
1322,насморка
1323,насморки
1324,насморок
1325,находилась
1326,находился
1327,находится
1328,начали
1329,начало
1330,неба
1331,небжных
1332,неблагополучной
1333,небные
1334,небных
1335,небольшая
1336,небольшим
1337,небольшое
1338,небольшой
1339,небольшую
1340,небыло
1341,небюольшой
1342,невозможен
1343,невралгия
1344,невысокая
1345,недели
1346,недель
1347,неделю
1348,неделя
1349,недержание
1350,недмогание
1351,недомагание
1352,недомогаение
1353,недомогание
1354,недомогания
1355,недомогвание
1356,недостаточности
1357,недостаточность
1358,незначительная
1359,незначительно
1360,незначительное
1361,незначительной
1362,незначительный
1363,незначительных
1364,неизвестен
1365,неизвестно
1366,нендомогание
1367,неоднократно
1368,неоднократный
1369,непостоянная
1370,неприятные
1371,непродуктивный
1372,непроходимости
1373,неритмичное
1374,несильный
1375,нескольких
1376,несколько
1377,нет
1378,нетданных
1379,нету
1380,неудалось
1381,неустойчивый
1382,неуточнен
1383,неуточненная
1384,неуточненный
1385,нехватка
1386,нехватки
1387,нижних
1388,низ
1389,низкое
1390,ничего
1391,нноса
1392,новой
1393,новую
1394,ног
1395,ногах
1396,ноге
1397,ноги
1398,ноет
1399,номер
1400,норма
1401,нормальная
1402,нормальное
1403,норме
1404,нормы
1405,нос
1406,носа
1407,носаа
1408,носе
1409,носительство
1410,носовое
1411,носовой
1412,носовых
1413,носоглотке
1414,носоглотки
1415,носу
1416,ночам
1417,ночное
1418,ночь
1419,ночью
1420,нсаморк
1421,обаняни
1422,обаняние
1423,обаняния
1424,обаяния
1425,обеих
1426,обильное
1427,област
1428,области
1429,областная
1430,область
1431,обложен
1432,обморок
1433,обмороки
1434,обморочное
1435,обняния
1436,обогяния
1437,оболочки
1438,обон
1439,обония
1440,обонния
1441,обонянгия
1442,обоняни
1443,обоняниЯ
1444,обоняние
1445,обоняния
1446,обонянияи
1447,обоняня
1448,обоняняи
1449,обоняняии
1450,обоняняия
1451,обострение
1452,обострений
1453,обояния
1454,обояняния
1455,образование
1456,обратился
1457,обращалась
1458,обращались
1459,обращался
1460,обращение
1461,обращения
1462,обсерватор
1463,обсерватора
1464,обсл
1465,обслед
1466,обследова
1467,обследовалась
1468,обследовался
1469,обследован
1470,обследована
1471,обследование
1472,обследовании
1473,обследования
1474,общ
1475,общая
1476,общего
1477,общее
1478,общежитии
1479,общей
1480,общении
1481,общий
1482,общую
1483,объективно
1484,обьеме
1485,оглушенном
1486,ограничены
1487,одвшеп
1488,одвшка
1489,один
1490,одного
1491,однодневное
1492,одной
1493,однократная
1494,однократно
1495,однократное
1496,однократный
1497,одышк
1498,одышка
1499,одышке
1500,одышки
1501,одышкой
1502,одышку
1503,озно
1504,озноб
1505,озноба
1506,около
1507,околоушной
1508,онемение
1509,онкозаболевание
1510,онкологии
1511,онкология
1512,опасением
1513,оперирован
1514,опоясывающего
1515,определяются
1516,опрос
1517,оптеря
1518,орви
1519,орз
1520,оритмия
1521,орле
1522,ортопедии
1523,осип
1524,осиплость
1525,осиплый
1526,ослабленное
1527,ослаблено
1528,осложнение
1529,осложненное
1530,осмотр
1531,осмотре
1532,осмотрен
1533,основному
1534,особенностей
1535,оставлен
1536,остеохондроза
1537,остра
1538,острая
1539,остро
1540,острое
1541,острые
1542,острый
1543,осязания
1544,отбор
1545,отвращение
1546,отделах
1547,отделе
1548,отделение
1549,отделении
1550,отделы
1551,отделяемой
1552,отделяемым
1553,отдышка
1554,отдышку
1555,отек
1556,отека
1557,отеки
1558,отеря
1559,отечное
1560,отечность
1561,отечные
1562,отит
1563,отказ
1564,отказался
1565,открытая
1566,отлдышка
1567,отмечает
1568,отмечается
1569,отмечал
1570,отмечала
1571,отмечалась
1572,отмечалось
1573,отмечался
1574,отмечать
1575,отмечено
1576,относительно
1577,отобраны
1578,отрицает
1579,отрицательный
1580,отстутствие
1581,отсутвие
1582,отсутвуют
1583,отсутсвие
1584,отсутсвовали
1585,отсутсвуют
1586,отсутствие
1587,отсутствии
1588,отсутствиие
1589,отсутствовали
1590,отсутствует
1591,отсутствуют
1592,отсутстуют
1593,оттенком
1594,отхаркивающейся
1595,отхаркивающий
1596,отходит
1597,отходящей
1598,отхождение
1599,отхождением
1600,отхождения
1601,отцом
1602,отышка
1603,охриплость
1604,очаге
1605,очагу
1606,очень
1607,ощущает
1608,ощущение
1609,ощущений
1610,ощущения
1611,оыдшка
1612,пазух
1613,пазухи
1614,палате
1615,пальца
1616,панические
1617,панкреатит
1618,парапроктита
1619,парацетамол
1620,пастозное
1621,пациента
1622,пациентом
1623,пелена
1624,первоначальный
1625,первые
1626,первый
1627,перебои
1628,перед
1629,передняя
1630,перемене
1631,перенесён
1632,переодически
1633,перешние
1634,периодически
1635,периодические
1636,периодический
1637,периодическое
1638,периодическую
1639,першение
1640,першения
1641,першило
1642,першит
1643,першние
1644,печени
1645,печень
1646,пищеварения
1647,пищи
1648,плановое
1649,плановой
1650,плановом
1651,плановый
1652,плече
1653,плечо
1654,плохо
1655,плохое
1656,плохой
1657,пневмания
1658,пневмонией
1659,пневмонии
1660,пневмонию
1661,пневмония
1662,пневмоторакс
1663,пневмофиброз
1664,пнршение
1665,поввышение
1666,поверхности
1667,повреждение
1668,повысилась
1669,повыш
1670,повышалась
1671,повышгение
1672,повышена
1673,повышеная
1674,повышение
1675,повышением
1676,повышении
1677,повышениме
1678,повышения
1679,повышенная
1680,повышенное
1681,повышенную
1682,повышено
1683,повыщ
1684,под
1685,поджелудочной
1686,подкашливавние
1687,подкашливает
1688,подкашливание
1689,поднимается
1690,поднималась
1691,поднялась
1692,подозрение
1693,подозрительным
1694,подреберье
1695,подташнивает
1696,подтвержден
1697,подтвержденнм
1698,подтвержденному
1699,подтвержденным
1700,подтвержденными
1701,подтверждённый
1702,подтверждённым
1703,подъем
1704,подъём
1705,подъёмов
1706,подьем
1707,поездке
1708,поетря
1709,позвоночке
1710,позвоночника
1711,позвоночнике
1712,позднене
1713,позже
1714,покалывание
1715,покашливание
1716,покое
1717,покраснение
1718,покровов
1719,покровы
1720,поликлиника
1721,полиноз
1722,полисегментарная
1723,полисегментарной
1724,полисигментальная
1725,поллиноз
1726,половине
1727,половых
1728,положении
1729,положения
1730,положительной
1731,положительный
1732,положительным
1733,полости
1734,получении
1735,поменялся
1736,помогают
1737,помощи
1738,помощь
1739,помощью
1740,понижение
1741,понижений
1742,пониженное
1743,понос
1744,понс
1745,понятное
1746,поражение
1747,поражения
1748,порвышение
1749,портеря
1750,порядке
1751,после
1752,последующие
1753,постановлению
1754,постоянный
1755,поступлении
1756,потеля
1757,потемнение
1758,потер
1759,потерю
1760,потеря
1761,потерял
1762,потеряобоняния
1763,потливость
1764,потливоть
1765,потлтвость
1766,потнря
1767,потоеря
1768,потоотделение
1769,потребя
1770,потреп
1771,потреря
1772,потрея
1773,потря
1774,походки
1775,почек
1776,почечная
1777,почка
1778,почках
1779,почувствовал
1780,почувствовала
1781,появилась
1782,появились
1783,появилось
1784,появился
1785,появляться
1786,пояснице
1787,поясницы
1788,поясничная
1789,поясничной
1790,поясничном
1791,правой
1792,правом
1793,правосторонняя
1794,пределах
1795,предполагает
1796,предъявлено
1797,предъявляет
1798,предъявлял
1799,предъявляла
1800,предьявляет
1801,предьявлял
1802,предьявляла
1803,преимущественно
1804,прешение
1805,прещение
1806,при
1807,приблизительно
1808,прибывшая
1809,прибывшей
1810,прибывшему
1811,прибывший
1812,прибывшим
1813,прибыл
1814,прибыла
1815,прибытием
1816,прибытии
1817,привит
1818,привита
